# BUSCO version is: 6.0.0 
# The lineage dataset is: stramenopiles_odb10 (Creation date: 2024-01-08, number of genomes: 27, number of BUSCOs: 100)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
302at33634	Complete	JAPPWB010000004.1	61654	55732	-	1462.8	1239	https://v10-1.orthodb.org/?query=302at33634	S1 domain
693at33634	Complete	JAPPWB010000813.1	5302	8791	+	1634.6	925	https://v10-1.orthodb.org/?query=693at33634	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
723at33634	Complete	JAPPWB010000118.1	31599	28422	-	1354.7	788	https://v10-1.orthodb.org/?query=723at33634	Aminoacyl-tRNA synthetase, class Ia
971at33634	Complete	JAPPWB010000071.1	6842	3311	-	1439.8	852	https://v10-1.orthodb.org/?query=971at33634	Aminoacyl-tRNA synthetase, class Ia
1102at33634	Missing
1326at33634	Complete	JAPPWB010000889.1	1311	5130	+	772.5	721	https://v10-1.orthodb.org/?query=1326at33634	MIF4G-like domain superfamily
1342at33634	Complete	JAPPWB010000119.1	9890	12884	+	1192.2	724	https://v10-1.orthodb.org/?query=1342at33634	Coatomer subunit beta
1803at33634	Complete	JAPPWB010001134.1	4023	1175	-	743.9	566	https://v10-1.orthodb.org/?query=1803at33634	Aminoacyl-tRNA synthetase, class Ia
2880at33634	Missing
3405at33634	Complete	JAPPWB010000767.1	5048	2186	-	1028.2	681	https://v10-1.orthodb.org/?query=3405at33634	Pre-mRNA-processing factor 6
3528at33634	Complete	JAPPWB010000067.1	46653	44196	-	1075.5	627	https://v10-1.orthodb.org/?query=3528at33634	Helicase, C-terminal
3786at33634	Complete	JAPPWB010000259.1	15763	17716	+	1034.2	527	https://v10-1.orthodb.org/?query=3786at33634	Heat shock protein 70 family
3834at33634	Complete	JAPPWB010000632.1	14235	12348	-	706.7	482	https://v10-1.orthodb.org/?query=3834at33634	Cyclophilin-type peptidyl-prolyl cis-trans isomerase
3835at33634	Complete	JAPPWB010000058.1	45663	47517	+	824.4	496	https://v10-1.orthodb.org/?query=3835at33634	Methylglyoxal synthase-like domain
3892at33634	Complete	JAPPWB010000129.1	4094	1970	-	777.7	539	https://v10-1.orthodb.org/?query=3892at33634	Sda1
4148at33634	Complete	JAPPWB010000130.1	2396	536	-	760.3	476	https://v10-1.orthodb.org/?query=4148at33634	Translation initiation factor IF- 2
4166at33634	Missing
4406at33634	Complete	JAPPWB010000303.1	13118	16057	+	693.0	435	https://v10-1.orthodb.org/?query=4406at33634	WD40-repeat-containing domain
5074at33634	Complete	JAPPWB010001857.1	1501	3046	+	632.4	415	https://v10-1.orthodb.org/?query=5074at33634	Carbohydrate kinase, FGGY
